date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,new_tests,total_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,new_vaccinations
2020-03-02,1,1,,,0.027,0.027,,,,,29,,,,,
2020-03-03,1,0,,,0.027,0,,,,4,33,,,,,
2020-03-04,1,0,,,0.027,0,,,,2,35,,,,,
2020-03-05,2,1,,,0.054,0.027,,,,7,42,,,,,
2020-03-06,2,0,,,0.054,0,,,,10,52,,,,,
2020-03-07,2,0,,,0.054,0,,,,5,57,0.057,17.5,,,
2020-03-08,2,0,,,0.054,0,,,,,,0.057,17.5,,,
2020-03-09,2,0,,,0.054,0,,,,,62,0.029,35,,,
2020-03-10,3,1,1,1,0.081,0.027,0.027,0.027,,4,66,0.057,17.5,,,
2020-03-11,5,2,1,0,0.135,0.054,0.027,0,,,,0.082,12.3,,,
2020-03-12,6,1,1,0,0.163,0.027,0.027,0,,,97,0.071,14,,,
2020-03-13,7,1,1,0,0.19,0.027,0.027,0,,4,101,0.102,9.8,,,
2020-03-14,17,10,1,0,0.461,0.271,0.027,0,,29,130,0.214,4.7,,,
2020-03-15,28,11,1,0,0.759,0.298,0.027,0,,,,0.265,3.8,,,
2020-03-16,29,1,1,0,0.786,0.027,0.027,0,,,189,0.214,4.7,,,
2020-03-17,38,9,2,1,1.03,0.244,0.054,0.027,,38,227,0.217,4.6,,,
2020-03-18,49,11,2,0,1.328,0.298,0.054,0,,90,317,0.185,5.4,,,
2020-03-19,63,14,2,0,1.707,0.379,0.054,0,,53,370,0.209,4.8,,,
2020-03-20,77,14,3,1,2.086,0.379,0.081,0.027,,94,464,0.192,5.2,,,
2020-03-21,96,19,3,0,2.601,0.515,0.081,0,,73,537,0.195,5.1,,,
2020-03-22,115,19,4,1,3.116,0.515,0.108,0.027,,90,627,0.186,5.4,,,
2020-03-23,143,28,4,0,3.874,0.759,0.108,0,1.91,159,786,0.192,5.2,,,
2020-03-24,170,27,5,1,4.606,0.731,0.135,0.027,1.91,69,855,0.21,4.8,,,
2020-03-25,225,55,6,1,6.096,1.49,0.163,0.027,1.91,140,995,0.259,3.9,,,
2020-03-26,275,50,11,5,7.45,1.355,0.298,0.135,1.88,211,1206,0.255,3.9,,,
2020-03-27,345,70,23,12,9.347,1.896,0.623,0.325,1.84,562,1768,0.206,4.9,,,
2020-03-28,402,57,25,2,10.891,1.544,0.677,0.054,1.79,208,1976,0.212,4.7,,,
2020-03-29,479,77,26,1,12.977,2.086,0.704,0.027,1.75,297,2273,0.221,4.5,,,
2020-03-30,556,77,33,7,15.063,2.086,0.894,0.19,1.69,478,2751,0.21,4.8,,,
2020-03-31,617,61,36,3,16.716,1.653,0.975,0.081,1.63,149,2900,0.219,4.6,,,
2020-04-01,654,37,39,3,17.719,1.002,1.057,0.081,1.58,445,3345,0.182,5.5,,,
2020-04-02,708,54,44,5,19.182,1.463,1.192,0.135,1.55,279,3624,0.179,5.6,,,
2020-04-03,791,83,48,4,21.43,2.249,1.3,0.108,1.55,286,3910,0.208,4.8,,,
2020-04-04,919,128,59,11,24.898,3.468,1.598,0.298,1.54,411,4321,0.22,4.5,,,
2020-04-05,1021,102,70,11,27.661,2.763,1.896,0.298,1.51,527,4848,0.21,4.8,,,
2020-04-06,1120,99,80,10,30.344,2.682,2.167,0.271,1.47,256,5104,0.24,4.2,,,
2020-04-07,1184,64,90,10,32.078,1.734,2.438,0.271,1.43,333,5437,0.224,4.5,,,
2020-04-08,1275,91,93,3,34.543,2.465,2.52,0.081,1.41,315,5752,0.258,3.9,,,
2020-04-09,1374,99,97,4,37.225,2.682,2.628,0.108,1.38,631,6383,0.241,4.1,,,
2020-04-10,1448,74,107,10,39.23,2.005,2.899,0.271,1.37,856,7239,0.197,5.1,,,
2020-04-11,1545,97,111,4,41.858,2.628,3.007,0.108,1.37,709,7948,0.173,5.8,,,
2020-04-12,1661,116,118,7,45.001,3.143,3.197,0.19,1.39,656,8604,0.17,5.9,,,
